Character,Line
Monica, Nope. Schhorry. 
[Scene," Iridium, Monica and Paula are at work.]"
Monica," I mean, why should I let them meet him? I mean, I bring a guy home, and"
Paula," Listen. As someone who's seen more than her fair share of bad beef, I'll"
tell you," that is not such a terrible thing. I mean, they're your friends, they're just"
Monica," I know. I just wish that once, I'd bring a guy home that they actually"
Paula," Well, you do realise the odds of that happening are a little slimmer if"
[Scene," Monica and Rachel's, Chandler is smoking out on the balcony, Phoebe is absent.]"
Joey," Let it go, Ross. "
Ross," Yeah, well, you didn't know Chi Chi. "
Monica, Do you all promise? 
All, Yeah! We promise! We'll be good! 
Monica, (shouts to Chandler) Chandler? Do you promise to be good? 
Joey," You can come in, but your filter-tipped little buddy has to stay outside! "
Ross," Hey, Pheebs. "
Phoebe, 'Dear Ms. Buffay. Thank you for calling attention to our error. We have
Rachel, What bank is this? 
Monica, Hey. It's him. (On the intercom) Who is it? 
Alan, (on the intercom) It's Alan. 
Joey, (shouting to Chandler) Chandler! He's here! 
Monica," (to all) Okay, please be good, please. Just remember how much you"
Monica," Hi. Alan, this is everybody. Everybody, this is Alan. "
Alan, Hi. 
All," Hi, Alan. "
Alan, I've heard schho much about all you guyschh! 
Monica," (to Alan) Thanks. I'll call you tomorrow. (Alan exits, to all) Okay."
Monica, C'mon! 
Ross," ...I'll go. Let's start with the way he kept picking at- no, I'm sorry, I"
All, Loved him! Yeah! He's great! 
Monica, Wait a minute! We're talking about someone that I'm going out
All, Yeah! 
Rachel, And did you notice...? (She spreads her thumb and index finger.) 
The Guys, (reluctantly) Yeah. 
Joey, Know what was great? The way his smile was kinda crooked. 
Phoebe," Yes, yes! Like the man in the shoe! "
Ross, ...What shoe? 
Phoebe," From the nursery rhyme. 'There was a crooked man, Who had a crooked"
Ross, ...So I think Alan will become the yardstick against which all future
Rachel," What future boyfriends? Nono, I th- I think this could be, y'know, it. "
Monica, Really! 
Chandler," Oh, yeah. I'd marry him just for his David Hasselhof impression alone."
Ross," You know what I like most about him, though? "
All, What? 
Ross, The way he makes me feel about myself. 
All, Yeah... 
[Scene," Central Perk, Monica is alone as Ross, Rachel, Chandler, and Joey enter"
Monica, Hi.. how was the game? 
Ross, Well.. 
All, WE WON!! Thank you! Yes! 
Monica, Fantastic! I have one question
Joey, Alan. 
Ross, He was unbelievable. He was like that-that-that Bugs Bunny cartoon where
Rachel," I mean, it-it was like, it was like he made us into a team. "
Chandler," Yep, we sure showed those Hassidic jewellers a thing or two about"
Monica, Can I ask you guys a question? D'you ever think that Alan is maybe..
Ross, What? 
Monica," ..I dunno, a little too Alan? "
Rachel," Well, no. That's impossible. You can never be too Alan. "
Ross," Yeah, it's his, uh, innate Alan-ness that-that-that we adore. "
Chandler, I personally could have a gallon of Alan. 
[Scene," A street, Phoebe walks up to a homeless person (Lizzie) she knows.] "
Phoebe," Hey, Lizzie. "
Lizzie," Hey, Weird Girl. "
Phoebe, I brought you alphabet soup. 
Lizzie, Did you pick out the vowels? 
Phoebe," Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh,"
Lizzie, Saltines? 
Phoebe," No, but would you like a thousand dollars and a football phone? "
Lizzie," What? (She opens the envelope Phoebe has given her.) Oh my God, there's"
Phoebe, I know. 
Lizzie," Weird Girl, what are you doing? "
Phoebe," No, I want you to have it. I don't want it. "
Lizzie," No, no, I ha-I have to give you something. "
Phoebe," Oh, that's fine, no. "
Lizzie, Would you like my tin-foil hat? 
Phoebe," No. 'Cause you need that. No, it's okay, thanks. "
Lizzie," Please, let me do something. "
Phoebe," Okay, alright, you buy me a soda, and then we're even. Okay? "
Lizzie, Okay. 
Phoebe, Okay. 
[Scene," Chandler's office, Chandler looks around, opens his desk drawer, takes a puff"
[Scene," A Street, Phoebe and Lizzie are at a hot dog vendor.]"
Lizzie, Keep the change. (To Phoebe) Sure you don't wanna pretzel? 
Phoebe," No, I'm fine. "
Lizzie, (leaves) See ya. 
Phoebe, Huh! 
[Scene," Central Perk, Phoebe is telling everyone about her discovery.]"
Ross, A thumb?! 
All, Eww! 
Phoebe," I know! I know, I opened it up and there it was, just floating in there,"
Chandler," Well, maybe it's a contest, y'know? Like, collect all five? "
Phoebe," Does, um, anyone wanna see? "
All, Nooo! 
All," Oh, hey, don't do that! Cut it out! "
Rachel, It's worse than the thumb! 
Chandler," Hey, this is so unfair! "
Monica," Oh, why is it unfair? "
Chandler, So I have a flaw! Big deal! Like Joey's constant knuckle-cracking
Joey, ...Does the knuckle-cracking bother everybody? 
Rachel," Well, I-I could live without it. "
Joey," Well, is it, like, a little annoying, or is it like when Phoebe chews her"
Ross," Oh, now, don't listen to him, Pheebs, I think it's endearing. "
Joey," Oh, (Imitating Ross) ""you do, do you""? "
Ross," You know, there's nothing wrong with speaking correctly. "
Rachel," ""Indeed there isn't""... I should really get back to work. "
Phoebe," Yeah, 'cause otherwise someone might get what they actually ordered. "
Rachel," Ohh-ho-hooohhh. The hair comes out, and the gloves come on. "
[Scene," Iridium, Monica and Paula are working.]"
Monica, Did you ever go out with a guy your friends all really like? 
Paula, No. 
Monica," Okay.. Well, I'm going out with a guy my friends all really like. "
Paula," Waitwait.. we talking about the coyotes here? All right, a cow got"
Monica, Can you believe it? ...Y'know what? I just don't feel the thing.
Paula," Honey.. you should always feel the thing. Listen, if that's how"
Monica, I know.. it's gonna be really hard. 
Paula," Well, he's a big boy, he'll get over it. "
Monica," No, he'll be fine. It's the other five I'm worried about. "
[Scene," Cental Perk, Joey and Ross are persecuting Chandler about his smoking.]"
Joey, Do you have any respect for your body? 
Ross, Don't you realise what you're-you're doing to yourself? 
Chandler," Hey, y'know, I have had it with you guys and your cancer and your"
Rachel," (holding the phone out to Chandler) Chandler? It's Alan, he wants to"
Chandler," Really? He does? (taking the phone) Hey, buddy, what's up! Oh, she"
Rachel," (to Ross, who has wandered up) God, he's good. "
Ross, If only he were a woman. 
Rachel, Yeah. 
[Scene," Monica and Rachel's, everyond except Monica and Joey is watching Lambchop.] "
Chandler," Ooh, Lambchop. How old is that sock? If I had a sock on my hand for"
Ross, Okay. I think it's time to change somebody's nicotine patch. (Does so.) 
Monica, (entering) Hey. Where's Joey? 
Chandler," Joey ate my last stick of gum, so I killed him. Do you think that was"
Rachel, I think he's across the hall. 
Monica, Thanks. (Goes to fetch him.) 
Ross, (finishing changing Chandler's nicotine patch) There y'go. 
Chandler," (deadpan) Ooh, I'm alive with pleasure now. "
Ross," Hey Pheebs, you gonna have the rest of that Pop-Tart?.. Pheebs? "
Phoebe, Does anyone want the rest of this Pop-Tart? 
Ross," Hey, I might! "
Phoebe," Sorry. ..Y'know, those stupid soda people gave me seven thousand dollars"
All, You're kidding. Oh my God. 
Phoebe," And on my way over here, I stepped in gum. ...What is up with the"
Joey," (dragged in by Monica, he has just gotten out of the shower) What's going"
Monica, Nothing. I just think it's nice when we're all here together. 
Joey, Even nicer when everyone gets to wear their underwear.. 
Rachel," Uh, Joey.. "
Joey," Oh, God! (Hurriedly closes his legs.) "
Monica, (turns off the TV) Okay.. 
All, Oh! That was Lambchop! 
Monica," Please, guys, we have to talk. "
Phoebe," Wait, wait, I'm getting a deja vu...no, I'm not. "
Monica," Alright, we have to talk. "
Phoebe, There it is! 
Monica, Okay. It's-it's about Alan. There's something that you should know. I
Ross, Is there somebody else? 
Monica," No, nononono.. it's just.. things change. People change. "
Rachel, We didn't change.. 
Joey, So that's it? It's over? Just like that? 
Phoebe," You know.. you let your guard down, you start to really care about"
Monica," Look, I- I could go on pretending- "
Joey, Okay! 
Monica," -but that wouldn't be fair to me, it wouldn't be fair to Alan- It"
Ross," Who-who wants fair? Y'know, I just want things back. Y'know, the way they"
Monica, I'm sorry.. 
Chandler," (sarcastic) Oh, she's sorry! I feel better! "
Rachel," (tearful) I just can't believe this! I mean, with the holidays coming"
Monica, I'll meet somone else. There'll be other Alans. 
All," Oh, yeah! Right! "
Monica, Are you guys gonna be okay? 
Ross," Hey hey, we'll be fine. We're just gonna need a little time. "
Monica, (dubious) I understand. 
[Scene," A Restaurant, Monica is breaking the news to Alan.]"
Alan, Wow. 
Monica," I'm, I'm really sorry. "
Alan," Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved. "
Monica, Relieved? 
Alan," Yeah, well, I had a great time with you.. I just can't stand your friends."
[Scene," Monica and Rachel's, everyone is mopping around and eating ice cream.] "
Rachel, Remember when we went to Central Park and rented boats?.. That was fun. 
Ross, Yeah. He could row like a viking. 
Monica, (entering) Hi. 
All, Mmm. 
Ross, So how'd it go? 
Monica," Oh, y'know.. "
Phoebe, Did he mention us? 
Monica, He said he's really gonna miss you guys. (dubious look) 
Ross," You had a rough day, huh.. c'mere. (She sits down and Ross strokes her"
Chandler, ...That's it. I'm getting cigarettes. 
All, No no no! 
Chandler," (leaving) I don't care, I don't care! Game's over! I'm weak! I've"
Phoebe, (shouting as he leaves) If you never smoke again I'll give you seven
Chandler," (returns) Yeah, alright."
Written by, Alexa Junge
Transcribed by, guineapig
[Scene," Central Perk, everyone is there except Joey.] "
Monica, Alright. Phoebe? 
Phoebe," Okay, okay. If I were omnipotent for a day,"
Ross," Yeah, see.. you took mine. Chandler, what"
Chandler," Uh, if I were omnipotent for a day, I'd.."
Rachel," See, there's always one guy. (Mocking)"
All," Hey Joey. Hi. Hey, buddy. "
Monica," Hey, Joey, what would you do if you were"
Joey, Probably kill myself! 
Monica, ..Excuse me? 
Joey," Hey, if Little Joey's dead, then I got no"
Ross," Joey, uh- OMnipotent. "
Joey," You are? Ross, I'm sorry.. "
[Scene," Central Perk, Ross and Monica are watching Phoebe"
Monica, How does she do that? 
Ross, I cannot sleep in a public place. 
Monica, Would you look at her? She is so peaceful. 
Phoebe, (waking and startling them) Oh! What what
Ross," It's okay, y'know, you just nodded off again. "
Monica, What's going on with you? 
Phoebe, I got no sleep last night! 
Ross, Why? 
Phoebe," My grandmother has this new boyfriend, and"
Monica," Well, if you want, you can stay with Rachel"
Phoebe, Thanks. 
Joey," ...Ninety-five, ninety-six, ninety-seven. See,"
Chandler, You got waaaay too much free time. 
Joey," (to Ross) Hey! Here's the birthday boy! Ross,"
check it out," hockey tickets, Rangers-Penguins, tonight at the Garden, and we're taking"
Chandler," Happy birthday, pal! "
Joey," We love you, man. (Kisses Ross) "
Ross," Funny, my birthday was seven months ago. "
Joey, So? 
Ross," So, I'm guessing you had an extra ticket and"
Chandler," Well, aren't we Mr. ""The glass is"
Ross," Oh my God, oh- is today the twentieth, October"
Monica," Oh, I was hoping you wouldn't remember. "
Ross, Ohhh. 
Joey, What's wrong with the twentieth? 
Chandler, Eleven days before Halloween.. all the
Ross, Today's the day Carol and I first..
Joey," The hell with hockey, let's all do that! "
Chandler," (trying to stop Ross leaving) C'mon, Ross!"
Ross, What are you doing? 
Chandler, (stops) I have no idea. 
Joey," C'mon, Ross! "
Ross," Alright, alright, maybe it'll take my mind off"
Chandler, You got it.
Rachel," Look-look-look-look-look, my first pay"
Phoebe, I remember the day I got my first pay check.
Monica," Wow, you worked in a mine? "
Phoebe," I worked in a Dairy Queen, why? "
Rachel," God, isn't this exciting? I earned this. I"
Chandler," (looking) Oh, this is not that bad. "
Joey," Oh, you're fine, yeah, for a first job. "
Ross," You can totally, totally live on this. "
Monica," Yeah, yeah. "
Ross," Oh, by the way, great service"
All, Oh! Yeah! 
Guys, Hockey! (They go to leave but are
Leslie, (looking around) Rachel? 
Rachel," Oh my God! (Rachel, Leslie, Kiki, and Joanne"
Monica, (to Phoebe) I swear I've seen birds do this
Rachel, What are you guys doing here? 
Kiki," Well, we were in the city shopping,"
Joanne, Look at you in the apron.
Rachel," (to a pregnant Leslie) Look at you, you are"
Leslie, I know. I know! I'm a duplex. 
Rachel, (to Joanne) So what's going on with you? 
Joanne," Well, guess who my dad's"
Kiki, And while we're on the subject of
Phoebe," (to Monica) Look, look, I have elbows! (They"
[Scene," A Street, Chandler and Joey are kicking a can to"
Chandler, ...Poulet passes it up to Leetch! (Passes
Joey, Leetch spots Messier in the crease- there's
Chandler, We'll take a brief time out while Messier
Ross, Carol was wearing boots just like those the
Joey, What? 
Ross, Peach pit. 
Chandler," Yes, Bunny? "
Ross," (points) Peach pit. That night we, uh- we had-"
Joey, -Peaches? 
Ross," Actually, nectarines, but basically... "
Chandler, (to Joey) Could've been a peach. 
Ross," Then, uh, then we got dressed, and I-I... I"
Joey," Hey, that woman's got an ass like Carol's!"
[Scene," Central Perk, Rachel, Lesile, Kiki, and Joanne are"
Rachel," So c'mon, you guys, tell me all the dirt! "
Kiki," Well, the biggest news is still you dumping"
Joanne, Alright. Let's talk reality for a second. 
Rachel, Okay. 
Joanne, When are you coming home? 
Rachel," What? Guys, I'm not. "
Joanne," C'mon, this is us. "
Rachel, I'm not! This is what I'm doing now. I've
Kiki, Waitressing? 
Rachel," Okay, I'm not just waitressing. I'm.. I,"
Leslie, Well. Your mom didn't tell us
[Scene," Monica and Rachel's, Phoebe and Monica are in"
Monica," Hey, Rach. How was it with your friends?"
Rachel, What's that? 
Monica," Weeeell, it's rum, and- "
Rachel, Okay. (Grabs the blender and starts to
Monica, We thought since Phoebe was staying over
Phoebe, Ooh! Ooh! And I brought Operation!
